region_economy,ano,number,GDP per capita (constant 2010 US$),GDP growth (annual %),"Foreign direct investment, net inflows (% of GDP)",GDP per capita growth (annual %),"Foreign direct investment, net outflows (% of GDP)",Final consumption expenditure (annual % growth),"Gross fixed capital formation, private sector (% of GDP)",index_ef,"Manufacturing, value added (% of GDP)","Inflation, consumer prices (annual %)"
India,2014,125,1640.18070024053,7.41022760508852,1.69565878566846,6.18673198340534,0.573111845183108,6.5724831072874,23.0824440088575,55.7,15.0655701110797,6.35319454414936
India,2015,139,1751.66443439956,7.99625378571471,2.09211575768566,6.79703974950297,0.357212358308358,7.85745272369695,21.2777966641717,54.6,15.5838545863713,5.87242659466756
India,2016,128,1874.22856135458,8.16952650547138,1.94105610153909,6.99700950410826,0.2203642125153,7.83721010554042,21.3886703724788,56.2,15.1999015149793,4.94102645839974
India,2017,134,1987.34115123471,7.16788886086535,1.50687902653162,6.03515452770493,0.418142338371875,8.55133180334013,21.4879166459398,52.6,14.870364015667,2.49088699878493
India,2018,126,2100.80078047205,6.81136932613997,1.54915773804552,5.70911688548563,0.419967417348678,8.261178909047,NA,54.5,14.8247971265985,4.86069946650859
Argentina,2000,92,8224.11282651363,-0.78899893905691,3.66579059535379,-1.87491241541325,0.317035999467937,-0.464965084483026,NA,70.0,16.4942719439838,NA
Argentina,2001,40,7776.13787206685,-4.40883968258557,0.806164134759348,-5.44709154527357,0.0598729562211523,-5.15724588356802,NA,68.6,16.093225876383,NA
Argentina,2002,9,6854.29408086406,-10.8944848285903,2.19895819502207,-11.8547768361233,-0.641746114274746,-12.8305929153493,NA,65.7,20.347773913878,NA
Argentina,2003,9,7380.4670873289,8.83704079576924,1.29481086883944,7.6765455385672,0.606472572254758,6.96915875248416,NA,56.3,22.4867505875749,NA
Argentina,2004,4,7962.41230916816,9.02957330068155,2.5050175164097,7.88493756497286,0.410542023782955,8.3491268867478,NA,53.9,18.9370136214371,NA
Argentina,2005,5,8577.86499429459,8.85165992013435,2.64935441452167,7.72947520461582,0.659695664726798,7.75540355124546,NA,51.7,18.340415936715,NA
Argentina,2006,42,9174.50245831661,8.04715150043027,2.38106854489628,6.95554738176538,1.04865387216475,9.86980399502954,NA,53.4,17.8777938558849,NA
Argentina,2007,51,9901.51188115634,9.00765087504757,2.25129423568361,7.92423813871991,0.523155949452163,9.12487825917493,NA,54.0,17.0474154518997,NA
Argentina,2008,48,10201.4759370923,4.05723310346406,2.68990096507093,3.02947731150856,0.384705758443082,6.93227733152048,NA,54.2,16.5383660984547,NA
