Country,Year,"Manufacturing, value added (% of GDP)","Inflation, consumer prices (annual %)"
Early-demographic dividend,FALSE,16.548541456485,15.4796721973151
Early-demographic dividend,FALSE,16.7547192244738,12.9746974698193
Early-demographic dividend,FALSE,16.6950191131707,10.2588088556284
Early-demographic dividend,FALSE,16.4682708349633,10.4771438105237
Early-demographic dividend,FALSE,16.7236869852906,8.90349361863703
Early-demographic dividend,FALSE,16.886004553325,9.35333081274149
Early-demographic dividend,FALSE,17.4232152336439,11.6229047957845
Early-demographic dividend,FALSE,17.6403234620659,9.87469609126641
Early-demographic dividend,FALSE,18.1800765917147,9.6537476299786409
Early-demographic dividend,FALSE,18.1379024281283,9.85040925769096
Early-demographic dividend,FALSE,17.9069048607206,13.092289912498
Early-demographic dividend,FALSE,17.7298690648184,15.1924564088855
Early-demographic dividend,FALSE,17.4915942853337,10.4036385562063
Early-demographic dividend,FALSE,16.9343039200595,10.361155738332
Early-demographic dividend,FALSE,17.3613570644864,10.3864734299518
Early-demographic dividend,FALSE,17.8753455509535,10.1114316065882
Early-demographic dividend,FALSE,17.8977475880634,8.97715233826445
Early-demographic dividend,FALSE,18.2311771556659,7.08700591205705
Early-demographic dividend,FALSE,17.8889173861774,6.66139865665754
Early-demographic dividend,FALSE,17.7486830819451,5.18148779927583
Early-demographic dividend,FALSE,17.529110649861,3.99328047147235
Early-demographic dividend,FALSE,17.7007653506777,3.77929312235636
Early-demographic dividend,FALSE,17.5945437163667,4.23791221923056
Early-demographic dividend,FALSE,17.5371325990089,5.6034767543447
Early-demographic dividend,FALSE,17.4034743993132,4.43314136719838
Early-demographic dividend,FALSE,17.2148640886349,4.86939696871988
Early-demographic dividend,FALSE,17.366988057889,5.79652337561632
Early-demographic dividend,FALSE,16.8899302201512,6.21439994982588
Early-demographic dividend,FALSE,16.877533249729,10.5458043040967
Early-demographic dividend,FALSE,16.3799544028451,4.53017659138661
Early-demographic dividend,FALSE,16.0134977531069,4.15672722680176
Early-demographic dividend,FALSE,15.7503568804424,5.82621608838853
Early-demographic dividend,FALSE,15.7694002167406,5.01804155429241
Early-demographic dividend,FALSE,15.4355652098269,4.82778705505172
Early-demographic dividend,FALSE,15.4873221647628,4.12924306873775
Early-demographic dividend,FALSE,15.7625927418232,3.09551722027242
Early-demographic dividend,FALSE,15.4967577779848,3.37153003512097
Early-demographic dividend,FALSE,15.5440382735542,3.46318594462519
Early-demographic dividend,FALSE,15.867293048293,4.12931113707407
Early-demographic dividend,FALSE,NA,2.7728644286333
East Asia & Pacific,FALSE,NA,NA
East Asia & Pacific,FALSE,NA,NA
East Asia & Pacific,FALSE,NA,NA
East Asia & Pacific,FALSE,NA,NA
East Asia & Pacific,FALSE,NA,NA
East Asia & Pacific,FALSE,NA,NA
East Asia & Pacific,FALSE,NA,NA
East Asia & Pacific,FALSE,NA,NA
East Asia & Pacific,FALSE,NA,NA
East Asia & Pacific,FALSE,NA,NA
East Asia & Pacific,FALSE,NA,NA
East Asia & Pacific,FALSE,NA,NA
East Asia & Pacific,FALSE,NA,NA
East Asia & Pacific,FALSE,NA,NA
East Asia & Pacific,FALSE,NA,NA
East Asia & Pacific,FALSE,NA,NA
East Asia & Pacific,FALSE,NA,NA
